cell	similarity_type	l1	l2	fold	auc
All	disease_similarity	100.0	0.1	2	0.7173418007977144
All	disease_similarity	100.0	0.1	3	0.7102026816780289
All	disease_similarity	100.0	0.1	4	0.7057963260210451
All	disease_similarity	100.0	0.1	5	0.674231280586122
All	disease_similarity	100.0	1.0	1	0.7000367740657973
All	disease_similarity	100.0	1.0	2	0.717101354982886
All	disease_similarity	100.0	1.0	3	0.7092727221295012
All	disease_similarity	100.0	1.0	4	0.7044836811128946
All	disease_similarity	100.0	1.0	5	0.6786441684817969
All	disease_similarity	100.0	10.0	1	0.6986436027269385
All	disease_similarity	100.0	10.0	2	0.7172286498260304
All	disease_similarity	100.0	10.0	3	0.7092338264829849
All	disease_similarity	100.0	10.0	4	0.7041769217050116
All	disease_similarity	100.0	10.0	5	0.6768761845492348
All	disease_similarity	100.0	100.0	1	0.6965290939435943
All	disease_similarity	100.0	100.0	2	0.7088625498571469
All	disease_similarity	100.0	100.0	3	0.7037601482277729
All	disease_similarity	100.0	100.0	4	0.6943748885321919
All	disease_similarity	100.0	100.0	5	0.6678665384288989
All	disease_similarity	100.0	1000.0	1	0.67559616418206
All	disease_similarity	100.0	1000.0	2	0.6831914231563463
All	disease_similarity	100.0	1000.0	3	0.6834530847783655
All	disease_similarity	100.0	1000.0	4	0.6594756554307116
All	disease_similarity	100.0	1000.0	5	0.6360994031286243
All	disease_similarity	1000.0	0.1	1	0.670270996577183
All	disease_similarity	1000.0	0.1	2	0.6828590421770248
All	disease_similarity	1000.0	0.1	3	0.6829934089558993
All	disease_similarity	1000.0	0.1	4	0.6606741573033708
All	disease_similarity	1000.0	0.1	5	0.6291264744985997
All	disease_similarity	1000.0	1.0	1	0.6714449379084043
All	disease_similarity	1000.0	1.0	2	0.6829439054057876
All	disease_similarity	1000.0	1.0	3	0.6829226895985969
All	disease_similarity	1000.0	1.0	4	0.6607383627608346
All	disease_similarity	1000.0	1.0	5	0.6290310033662414
All	disease_similarity	1000.0	10.0	1	0.6774843710220362
All	disease_similarity	1000.0	10.0	2	0.6828802579842154
All	disease_similarity	1000.0	10.0	3	0.6850654861248621
All	disease_similarity	1000.0	10.0	4	0.6600891742464776
All	disease_similarity	1000.0	10.0	5	0.6309086023026222
All	disease_similarity	1000.0	100.0	1	0.6752814630420638
All	disease_similarity	1000.0	100.0	2	0.6813810076094029
All	disease_similarity	1000.0	100.0	3	0.6815507340669288
All	disease_similarity	1000.0	100.0	4	0.6585125735687533
All	disease_similarity	1000.0	100.0	5	0.6276201521880569
All	disease_similarity	1000.0	1000.0	1	0.6700376226980849
All	disease_similarity	1000.0	1000.0	2	0.6688212497524822
All	disease_similarity	1000.0	1000.0	3	0.679418545444259
All	disease_similarity	1000.0	1000.0	4	0.6502657392545033
All	disease_similarity	1000.0	1000.0	5	0.6214604961670108
